bizid,Aid_Section,중위소득,homeless_Whether,school_year _system,1인가구 여부,신혼부부,농업인,소상공인,차상위계층,기초생활 및 생계급여
R2022031100017,-,-,-,-,-,-,-,-,-,-
R2022031100018,-,-,-,-,-,-,-,-,-,-
R2022031100019,-,-,-,-,-,-,-,-,-,-
R2022031100020,-,-,-,-,-,-,-,-,-,-
R2022031100021,-,-,-,-,-,-,-,-,-,-
R2022031100022,-,-,-,-,-,-,-,-,-,-
R2022031100023,-,-,-,-,-,-,-,-,-,-
R2022031100024,-,-,-,-,-,-,-,-,-,-
R2022031100025,-,-,-,-,-,-,-,-,-,-
R2022031100026,-,-,-,-,-,-,-,-,-,-
R2022031100027,-,-,-,-,-,-,-,-,-,-
R2022031100028,-,-,-,-,-,-,-,-,-,-
R2022031100029,-,-,-,-,-,-,-,-,-,-
R2022031100030,-,-,-,-,-,-,-,-,-,-
R2022031100031,-,-,-,-,-,-,1,-,-,-
R2022031100032,-,-,-,-,-,-,-,-,-,-
R2022031100033,-,-,-,-,-,-,-,-,-,-
R2022031100034,-,-,-,-,-,-,-,-,-,-
R2022031100035,-,-,-,-,-,-,-,-,-,-
R2022031100036,-,-,-,-,-,-,-,-,-,-
R2022031100037,-,-,-,-,-,-,1,-,-,-
R2022031100038,-,-,-,-,-,-,-,-,-,-
R2022031100039,-,-,-,-,-,-,-,-,-,-
R2022031100040,-,-,-,-,-,-,-,-,-,-
R2022031100041,-,-,-,-,-,-,-,-,-,-
R2022031100042,-,-,-,-,-,-,-,-,-,-
R2022031100043,-,-,-,-,-,-,-,-,-,-
R2022031100044,-,-,-,-,-,-,-,-,-,-
R2022031100045,-,-,-,-,-,-,-,-,-,-
R2022031100046,-,-,-,-,-,-,-,-,-,-
R2022031100047,-,-,-,-,-,-,-,-,-,-
R2022031100048,-,-,-,-,-,-,-,-,-,-
R2022031100049,-,-,-,-,-,-,-,-,-,-
R2022031100050,-,-,-,-,-,-,-,-,-,-
R2022031100051,-,-,-,-,-,-,-,-,-,-
R2022031100052,-,-,-,-,-,-,-,-,-,-
R2022031100053,-,-,-,-,-,-,-,-,-,-
R2022031100054,-,-,-,-,-,-,1,-,-,-
R2022031100055,-,-,-,-,-,-,-,-,-,-
R2022031100056,-,-,-,-,-,-,-,-,-,-
R2022031100057,-,-,-,-,-,-,-,-,-,-
R2022031100058,-,-,-,-,-,-,-,-,-,-
R2022031100059,-,-,-,-,-,-,-,-,-,-
R2022031100060,-,-,-,-,-,-,-,-,-,-
R2022031100061,-,-,-,-,-,-,-,-,-,-
R2022031100062,-,-,-,-,-,-,-,-,-,-
R2022031100063,-,-,-,-,-,-,-,-,-,-
R2022031100064,-,-,-,-,-,-,-,-,-,-
R2022031100065,-,-,-,-,-,-,-,-,-,-
R2022031100066,-,000~150,1,-,1,-,-,-,-,-
R2022031100067,-,-,-,-,-,-,-,-,-,-
R2022031100068,-,-,-,-,-,-,-,-,-,-
R2022031100069,-,-,-,-,-,-,-,-,-,-
R2022031100070,-,-,-,-,-,-,-,-,-,-
R2022031100071,-,-,-,-,-,-,-,-,-,-
R2022031100072,-,-,-,-,-,-,-,-,-,-
R2022031100073,-,-,-,-,-,-,-,-,-,-
R2022031100074,-,-,-,-,-,-,-,-,-,-
R2022031100075,-,-,-,-,-,-,-,-,-,-
R2022031100076,-,-,-,-,-,-,-,-,-,-
R2022031100077,-,-,-,-,-,-,-,-,-,-
R2022031100078,-,-,-,-,-,-,-,-,-,-
R2022031100080,-,-,-,-,-,-,-,-,-,-
R2022031100081,-,000~150,-,-,-,-,-,-,-,-
R2022031100082,-,000~150,-,-,-,-,-,-,-,-
R2022031100083,-,-,-,-,-,-,-,-,-,-
R2022031100084,-,-,-,-,-,-,-,-,-,-
R2022031100085,-,-,-,-,-,-,-,-,-,-
R2022031100086,-,-,-,-,-,-,-,-,-,-
R2022031100087,-,-,-,-,-,-,-,-,-,-
R2022031100088,-,-,-,-,-,-,-,-,-,-
R2022031100089,-,-,-,-,-,-,-,-,-,-
R2022031100090,-,-,-,-,-,-,-,-,-,-
R2022031100091,-,-,-,-,-,-,-,-,-,-
R2022031100092,-,-,-,-,-,-,-,-,-,-
R2022031100093,-,-,-,-,-,-,-,-,-,-
R2022031100094,-,-,-,-,-,-,-,-,-,-
R2022031100095,-,-,-,-,-,-,-,-,-,-
R2022031100096,-,-,-,-,-,-,-,-,-,-
R2022031100097,-,-,-,-,-,-,-,-,-,-
R2022031100098,-,-,-,-,-,-,-,-,-,-
R2022031100099,-,-,-,-,-,-,-,-,-,-
R2022031100100,-,-,-,-,-,-,-,-,-,-
R2022031100101,-,-,-,-,-,-,-,-,-,-
R2022031100102,-,-,-,-,-,-,-,-,-,-
R2022031100103,-,-,-,-,-,-,-,-,-,-
R2022031100104,-,-,-,-,-,-,-,-,-,-
R2022031100105,-,-,-,-,-,-,-,-,-,-
R2022031100106,-,-,-,-,-,-,-,-,-,-
R2022031100107,-,-,-,-,-,-,-,1,-,-
R2022031100108,-,-,-,-,-,-,-,-,-,-
R2022031100109,-,-,-,-,-,-,-,-,-,-
R2022031100110,-,-,-,-,-,-,-,-,-,-
R2022031100111,-,-,-,-,-,-,-,-,-,-
R2022031100112,-,-,-,-,-,-,-,-,-,-
R2022031100113,-,-,-,-,-,-,-,-,-,-
R2022031100114,-,-,-,-,-,-,-,-,-,-
R2022031100115,-,000~100,1,-,-,-,-,-,-,-
R2022031100116,-,-,-,-,-,-,-,-,-,-
R2022031100117,-,-,-,-,-,-,-,-,-,-
R2022031100118,-,-,-,-,-,-,-,-,-,-
R2022031100119,-,-,-,-,-,-,-,-,-,-
R2022031100120,-,-,-,-,-,-,-,-,-,-
R2022031100121,-,-,-,-,-,-,-,-,-,-
R2022031100122,-,-,-,-,-,-,-,-,-,-
R2022031100123,-,-,-,-,-,-,-,-,-,-
R2022031100124,-,-,-,-,-,-,-,-,-,-
R2022031100125,-,-,-,-,-,-,-,-,-,-
R2022031100126,-,-,-,-,-,-,-,-,-,-
R2022031100127,-,-,-,-,-,-,-,-,-,-
R2022031100128,-,-,-,-,-,-,-,-,-,-
R2022031100129,-,-,-,-,-,-,-,-,-,-
R2022031100130,-,-,-,-,-,-,-,-,-,-
R2022031100131,-,-,-,-,-,-,1,-,-,-
R2022031100132,-,-,-,-,-,-,-,-,-,-
R2022031100133,-,-,-,-,-,-,-,-,-,-
